step,box_x,box_y,box_z,eef_x,eef_y,eef_z,wall_gap,box_height,measured_force_normal,phase
15,0.024254810837158337,-0.04617637954958244,0.085661391731218,-0.05372307034073117,-0.1320978127526216,0.16255465633086513,0.14617694759414354,0.16566139173121802,0.7932070970138067,approach
16,0.031393330533775216,-0.03941546492540838,0.08752676090485,-0.04199728596516014,-0.1196449970531862,0.16609717681509323,0.1394160329699695,0.16752676090485,-0.7677480352914898,approach
17,0.03361769190323573,-0.040271422656123254,0.0887468785220825,-0.03658973901672941,-0.12120223890359932,0.17040421771002529,0.14027199070068436,0.1687468785220825,-2.2865258353741353,approach
18,0.038471744610509784,-0.042276819416930254,0.089710045668716,-0.026675444607871617,-0.12527814767949022,0.1756416664524199,0.14227738746149135,0.169710045668716,-1.3164211472994722,approach
19,0.04408068913605587,-0.03796344928191517,0.09151293538983381,-0.02149429121690946,-0.12058982759194158,0.1771900338816093,0.13796401732647628,0.1715129353898338,-0.034315598656130986,approach
20,0.05293390249674798,-0.02396671971442653,0.09850013725923963,-0.013359785866732789,-0.10073091110468443,0.18935317851436845,0.12396728775898763,0.17850013725923963,0.21162286483081516,approach
21,0.06074885770509867,-0.01462806260528468,0.10443263029998352,-0.018061624527567398,-0.09333603227540435,0.18320605515792412,0.11462863064984578,0.18443263029998352,-4.538256605849483,approach
22,0.05978669714849929,-0.014788143294193886,0.10390166647305685,-0.019881466310921574,-0.10323061808663377,0.1745095030426021,0.11478871133875498,0.18390166647305684,-2.1780508564545658,approach
23,0.06055509154062272,-0.019998623884061026,0.10024251754897479,-0.013496077259050623,-0.12402239157524672,0.1701623804264553,0.11999919192862213,0.1802425175489748,-1.6347711924712778,approach
24,0.06587436179374175,-0.03128323176456235,0.09279690745678698,-0.00836364657397766,-0.1457309657172401,0.1557328122676961,0.13128379980912347,0.172796907456787,-0.5025613063685791,approach
25,0.07350414915570314,-0.04713664211893117,0.07874460576250476,0.005336166984706674,-0.14544263671039404,0.1436981090594313,0.14713721016349227,0.15874460576250476,-1.4842507634317923,approach
26,0.0822099705223075,-0.04550485994470022,0.08023262055308442,0.008945917208579082,-0.14155267998309712,0.12585500578476297,0.14550542798926133,0.1602326205530844,18.320612868596413,approach
27,0.08147518299797835,-0.045617645787472925,0.07962201137312731,0.011244738808748822,-0.1324001757595345,0.10385010273550288,0.14561821383203402,0.15962201137312731,-0.5233874402088105,approach
28,0.08791039132966746,-0.03763071897800354,0.08006294181146216,0.017832837914700993,-0.11628042654949952,0.09428820757606166,0.13763128702256464,0.16006294181146216,-0.00823489789411613,approach
29,0.0967128876941591,-0.02322326462175823,0.08082040456003727,0.022134054936992213,-0.09591508002432098,0.095226320432827,0.12322383266631934,0.16082040456003727,-8.18810927212611,approach
30,0.11116868895887481,-0.001747622188249807,0.08489628703320695,0.028127510037426487,-0.06463701876576335,0.10584938089946797,0.10174819023281091,0.16489628703320697,0.0,approach
31,0.126098463474014,0.01934843188598311,0.08591559959219619,0.040231397529577106,-0.04609915780050662,0.11178243987385478,0.080652136158578,0.1659155995921962,0.0,approach
32,0.1531757212068616,0.03815243172227776,0.08701494517952238,0.06297792127091481,-0.02903119801870592,0.1169932499625479,0.06184813632228334,0.16701494517952237,-1.2375786447218329,approach
33,0.17018456793869852,0.04890455275089111,0.08643241624862047,0.07468581615576055,-0.0021163419527457303,0.123058551050491,0.05109601529367,0.16643241624862048,0.0,approach
34,0.16933918319747618,0.05018926781528578,0.08481851209045475,0.07042733346836896,0.007028142872583729,0.11081896728326528,0.049811300229275324,0.16481851209045476,1.0142305056371959,approach
